Category,Test,Severity,Region,Result,Resource,More Info
CloudTrail,CloudTrail Bucket Delete Policy,medium,us-east-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,us-east-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,us-west-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,us-west-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,ca-central-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,eu-central-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,eu-west-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,eu-west-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,eu-west-3,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,eu-north-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,ap-northeast-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,ap-northeast-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,ap-southeast-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,ap-southeast-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,ap-northeast-3,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,ap-south-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,medium,sa-east-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Enabled,high,us-east-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,us-east-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,us-west-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,us-west-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,ca-central-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,eu-central-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,eu-west-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,eu-west-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,eu-west-3,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,eu-north-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,ap-northeast-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,ap-northeast-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,ap-southeast-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,ap-southeast-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,ap-northeast-3,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,ap-south-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,sa-east-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,high,global,FAIL,,CloudTrail is not configured to monitor global services
EC2,Elastic IP Limit,low,us-east-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,us-east-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,us-west-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,us-west-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,ca-central-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,eu-central-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,eu-west-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,eu-west-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,eu-west-3,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,eu-north-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,ap-northeast-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,ap-northeast-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,ap-southeast-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,ap-southeast-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,ap-northeast-3,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,ap-south-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,low,sa-east-1,PASS,,No Elastic IPs found
EC2,VPC Elastic IP Limit,low,us-east-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,us-east-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,us-west-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,us-west-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,ca-central-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,eu-central-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,eu-west-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,eu-west-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,eu-west-3,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,eu-north-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,ap-northeast-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,ap-northeast-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,ap-southeast-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,low,ap-southeast-2,PASS,,No VPC Elastic IPs found
